park.name,park.code,park.slug
Ocmulgee Mounds National Historical Park,OCMU,2016-national-parks-bioblitz-ocmulgee-butterfly-bioblitz
Olympic National Park,OLYM,2016-national-parks-bioblitz-olympic
Oregon Caves National Monument,ORCA,2016-national-parks-bioblitz-oregon-caves-bioblitz
Padre Island National Seashore,PAIS,2016-national-parks-bioblitz-padre-island-dragonfly-bioblitz
Petrified Forest National Park,PEFO,2016-national-parks-bioblitz-petrified-forest-reptileblitz
Pinnacles National Park,PINN,2016-national-parks-bioblitz-pinnacles
Pipestone National Monument,PIPE,2016-national-parks-bioblitz-pipestone
Piscataway Park,PISC,2016-national-parks-bioblitz-piscataway
Point Reyes National Seashore,PORE,2016-national-parks-bioblitz-point-reyes-mudflat-terrestrial-invertebrates
President's Park,PRPA,2016-national-parks-bioblitz-president-s-park
Prince William Forest Park,PRWI,2016-national-parks-bioblitz-prince-william-forest
Pullman National Monument,PULL,2016-national-parks-bioblitz-pullman-1af4f8da-0f60-4836-b247-1e90feb07c3c
Richmond National Battlefield Park,RICH,2016-national-parks-bioblitz-richmond-battlefield-biota
Rock Creek Park,ROCR,2016-national-parks-bioblitz-rock-creek-park
Saint Croix National Scenic River,SACN,2016-national-parks-bioblitz-st-croix
Saint-Gaudens National Historical Park,SAGA,2016-national-parks-bioblitz-saint-gaudens
Sagamore Hill National Historic Site,SAHI,2016-national-parks-bioblitz-sagamore-hill-birdblitz
San Juan Island National Historical Park,SAJH,2016-national-parks-bioblitz-san-juan-island
Santa Monica Mountains National Recreation Area,SAMO,2016-national-parks-bioblitz-santa-monica-mountains
Shenandoah National Park,SHEN,2016-national-parks-bioblitz-shenandoah-mycological-foray
Sleeping Bear Dunes National Lakeshore,SLBE,2016-national-parks-bioblitz-sleeping-bear-dunes
Tallgrass Prairie National Preserve,TAPR,2016-national-parks-bioblitz-tallgrass-prairie-pollinators
Theodore Roosevelt Island National Memorial,THIS,2016-national-parks-bioblitz-theodore-roosevelt
Timpanogos Cave National Monument,TICA,2016-national-parks-bioblitz-timpanogos-cave
Tumacacori National Historical Park,TUMA,2016-national-parks-bioblitz-tumacacori-pollinator-bioblitz
Upper Delaware National Scenic and Recreation River,UPDE,2016-national-parks-bioblitz-upper-delaware
Valley Forge National Historical Park,VAFO,2016-national-parks-bioblitz-valley-forge-wildlife-watchers-photoblitz
Weir Farm National Historic Site,WEFA,2016-national-parks-bioblitz-weir-farm
Whiskeytown National Recreation Area,WHIS,2016-national-parks-bioblitz-whiskeytown-birds-bees-and-butterflies-bioblitz
Wind Cave National Park,WICA,2016-national-parks-bioblitz-wind-cave-bird-blitz
Wolf Trap National Park for the Performing Arts ,WOTR,2016-national-parks-bioblitz-wolf-trap
Yellowstone National Park,YELL,2016-national-parks-bioblitz-yellowstone-dragonfly-hg
Yosemite National Park,YOSE,2016-national-parks-bioblitz-yosemite-bloomblitz
Zion National Park,ZION,2016-national-parks-bioblitz-zion-dragonfly-bioblitz

