Scientific.name,Common.name,Iconic.taxon.name,Taxon #,Place.guess,Latitude,Longitude
Acronicta tritona,Triton Dagger,Insecta,212457,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Dichomeris ochripalpella,Shining Dichomeris Moth,Insecta,218382,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Elophila gyralis,Waterlily Borer Moth,Insecta,332646,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Pseudothyatira cymatophoroides,Tufted Thyatirine Moth,Insecta,204699,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Drepana arcuata,Arched Hooktip Moth,Insecta,84428,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Oreta rosea,Rose Hooktip,Insecta,121534,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Hesperumia sulphuraria,Sulphur Moth,Insecta,221268,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Iridopsis larvaria,Bent-line Gray,Insecta,205233,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Synanthedon acerni,Maple Callus Borer Moth,Insecta,126970,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Moodna pallidostrinella,Paler Moodna Moth,Insecta,417151,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Bleptina caradrinalis,Bent-winged Owlet,Insecta,215271,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Zale horrida,Horrid Zale Moth,Insecta,233933,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Harrisimemna trisignata,Harris' Three-Spot,Insecta,220974,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Sympistis dentata,Blueberry Sallow,Insecta,232076,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Syngrapha epigaea,Epigaea Looper Moth,Insecta,232147,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Apamea verbascoides,Mullein Apamea Moth,Insecta,213863,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Eulogia ochrifrontella,Broad-banded Eulogia Moth,Insecta,153302,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Habrosyne scripta,Lettered Habrosyne Moth,Insecta,220826,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Drepana bilineata,Two-lined Hooktip,Insecta,205204,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Macaria pustularia,Lesser Maple Spanworm Moth,Insecta,736797,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Nematocampa resistaria,Horned Spanworm Moth,Insecta,81656,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Perizoma alchemillata,Small Rivulet,Insecta,201403,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Malacosoma americana,Eastern Tent Caterpillar Moth,Insecta,211100,"Winter Harbor, ME, USA",44.33667388,-68.06200947
